G,R,2B,3B,HR,RBI,SO,BA,OPS,GDP,SF,Salary
158,113,34,2,38,121,127,0.295,0.938,17,2,7.275217184
132,97,31,6,23,82,94,0.295,0.845,15,4,6.951965084
153,107,40,7,22,79,116,0.295,0.841,11,7,6.506252253
145,111,38,5,35,85,174,0.294,0.917,3,3,6.650935088
146,89,29,3,27,94,86,0.293,0.924,15,3,6.993357769
122,96,20,3,39,96,113,0.292,0.974,12,4,7.03114633
154,106,38,2,35,97,143,0.291,0.899,22,5,5.712010412
138,83,29,7,33,89,131,0.291,0.922,3,0,5.698132048
134,110,27,2,45,104,120,0.291,1.083,5,4,7.508267584
154,83,30,4,6,49,64,0.29,0.734,8,1,5.701314844
135,80,24,0,27,67,88,0.29,0.881,11,5,7.207237589
151,100,58,3,27,73,143,0.289,0.863,12,3,6.951965084
146,62,21,3,11,59,70,0.288,0.724,17,2,6.349905092
141,52,19,0,14,73,69,0.288,0.768,16,3,6.893973137
157,75,30,7,15,72,124,0.287,0.755,13,3,5.712010412
144,70,31,2,22,75,105,0.285,0.849,15,3,7.230718685
162,123,43,7,33,92,102,0.285,0.892,11,1,6.722817095
148,61,25,4,11,59,83,0.285,0.784,2,5,6.76487844
159,85,38,1,33,123,152,0.284,0.834,24,10,7.156492027
143,101,40,2,32,74,98,0.284,0.854,13,6,6.975217543
132,52,29,1,5,46,62,0.284,0.71,15,5,6.450964447
130,81,23,6,28,81,151,0.283,0.857,8,5,5.688361586
147,108,35,1,31,77,145,0.282,0.903,10,2,7.062554794
136,41,21,0,12,59,108,0.282,0.744,18,5,7.429086338
125,61,25,2,20,72,125,0.282,0.796,15,3,6.605177597
150,110,32,5,34,110,132,0.282,0.949,11,6,5.714118276
138,89,38,4,29,85,156,0.281,0.847,16,2,6.667968427
158,110,30,1,34,93,108,0.281,0.911,13,2,7.182414005
156,127,22,2,41,101,188,0.28,0.883,8,1,5.951965084
144,79,37,4,12,60,73,0.28,0.743,11,3,7.138073463
139,75,29,10,26,84,148,0.279,0.87,9,5,5.705720447
151,103,25,7,15,49,106,0.279,0.792,8,3,6.87624437
140,93,27,3,8,40,139,0.279,0.688,6,3,6.142296782
161,77,31,3,14,71,100,0.279,0.741,9,4,6.841266786
152,80,33,7,10,50,75,0.278,0.753,6,1,5.718377931
144,96,26,0,38,90,129,0.278,0.871,10,6,5.733864003
143,94,37,3,37,116,118,0.277,0.936,11,7,5.720603185
149,46,30,1,13,80,117,0.277,0.751,13,4,5.715018524
137,91,28,1,32,109,86,0.276,0.8,10,6,6.574179107
138,66,26,1,23,72,101,0.276,0.798,17,3,6.406809944
147,81,27,4,12,72,96,0.275,0.707,16,10,7.128056343
145,92,36,3,25,83,123,0.275,0.82,12,8,6.722817095
141,57,19,3,14,56,66,0.275,0.728,9,9,7.065908436
162,111,33,5,24,73,176,0.274,0.792,8,4,6.635462401
145,77,33,2,21,68,123,0.273,0.818,22,1,6.56474894
123,52,26,2,15,69,91,0.272,0.772,17,2,5.622663555
134,82,44,1,19,87,98,0.272,0.817,8,4,6.554025075
159,87,22,2,49,103,189,0.271,0.93,12,6,6.797063124
162,68,31,4,22,86,111,0.27,0.736,23,9,6.993357769
158,94,29,10,35,118,130,0.269,0.831,8,10,6.76487844
122,69,18,2,31,79,134,0.267,0.828,11,2,6.730116334
127,73,26,0,36,91,138,0.267,0.896,11,1,5.711632928
149,76,30,2,24,84,133,0.267,0.785,13,4,6.934236317
138,72,40,5,13,68,140,0.266,0.774,6,5,5.807786989
150,77,31,1,13,76,100,0.266,0.741,13,6,7.252995079
151,93,31,2,24,61,165,0.265,0.826,6,1,7.274184378
160,72,29,2,22,99,163,0.265,0.735,12,5,7.252995079
162,95,33,1,48,117,178,0.265,0.922,16,4,6.554025075
118,72,21,1,21,62,142,0.263,0.842,12,1,5.710271265
126,57,33,1,20,66,114,0.261,0.811,15,3,5.71912095
142,79,32,1,15,47,123,0.261,0.768,14,3,7.349905092
161,103,30,2,53,120,183,0.26,0.941,13,3,5.696258067
131,69,25,1,18,91,103,0.26,0.783,9,7,6.797063124
148,75,30,0,11,48,106,0.26,0.697,14,4,7.098867954
147,67,28,1,23,70,145,0.26,0.734,14,2,6.554025075
161,97,25,1,34,97,166,0.26,0.821,11,3,7.113333086
157,98,36,1,35,114,178,0.26,0.882,10,4,7.429086338
137,66,25,1,16,67,101,0.26,0.728,15,3,6.605177597
155,96,33,0,37,94,155,0.259,0.9,13,2,7.31369292
161,83,37,3,21,88,89,0.259,0.719,15,7,6.715393077
152,86,26,1,29,73,155,0.259,0.825,11,1,5.699997978
151,90,29,1,33,92,149,0.257,0.856,11,5,6.556730968
156,81,21,2,32,85,128,0.256,0.796,24,3,7.429086338
129,68,33,3,23,83,74,0.255,0.806,8,6,6.525996351
155,86,33,3,17,65,140,0.255,0.745,6,5,5.698443594
152,69,25,1,20,52,153,0.254,0.735,9,1,5.702010396
158,79,33,6,19,82,113,0.254,0.753,15,12,6.515742717
129,59,19,2,20,69,112,0.254,0.762,14,5,7.113333086
143,80,30,1,35,87,98,0.254,0.845,12,2,6.800154201
121,63,20,1,21,69,164,0.253,0.77,11,2,6.241999695
134,98,32,0,36,90,99,0.252,0.855,5,4,6.730116334
149,59,20,4,2,43,117,0.252,0.638,7,3,6.617076821
141,86,26,7,28,74,108,0.251,0.829,6,3,6.827026347
147,78,20,4,21,62,110,0.251,0.772,12,3,7.252995079
141,101,22,1,35,98,149,0.251,0.889,5,4,5.711632928
127,77,26,3,17,65,124,0.251,0.748,7,5,5.71912095
141,70,22,1,24,83,160,0.25,0.779,14,1,5.700153111
155,82,29,3,38,92,156,0.25,0.871,6,6,6.482164782
156,102,36,3,36,91,147,0.249,0.848,12,3,5.715393077
149,83,16,3,36,74,111,0.249,0.876,4,2,6.650935088
150,69,19,0,37,81,156,0.249,0.822,15,7,5.539078623
153,79,26,2,28,77,139,0.246,0.848,16,5,7.156085066
121,52,23,1,17,65,88,0.245,0.715,7,6,7.113333086
151,72,24,0,31,90,143,0.244,0.771,9,4,5.701701399
131,55,22,0,23,93,68,0.244,0.734,21,8,7.399123115
130,80,23,1,29,89,114,0.241,0.8,21,1,7.040101172
150,69,24,1,19,67,142,0.238,0.754,6,4,7.169449028
156,76,32,3,17,57,127,0.234,0.742,6,4,7.156085066
159,97,31,1,30,78,149,0.233,0.762,15,6,6.128056343
152,92,29,1,33,74,162,0.232,0.792,14,2,6.973154383
151,75,29,5,31,80,163,0.232,0.738,20,2,7.03114633
147,58,24,2,11,59,117,0.228,0.654,10,4,7.128056343
134,70,19,9,6,37,141,0.227,0.635,7,1,5.675174394
160,86,33,5,29,85,173,0.226,0.819,10,6,5.711632928
147,69,28,3,21,62,155,0.225,0.738,6,2,6.883931198
152,51,16,1,15,59,109,0.223,0.633,15,6,5.704551262
133,61,11,0,23,73,146,0.22,0.679,11,2,7.169449028
139,65,24,2,20,67,75,0.218,0.711,12,3,6.508267584
144,73,17,0,30,76,149,0.208,0.78,4,2,5.699066015
145,77,30,1,30,93,178,0.205,0.721,4,1,6.827026347
136,129,47,5,32,80,91,0.346,1.078,5,5,6.982867482
150,111,37,2,43,130,146,0.33,1.031,19,7,7.337341797
147,118,34,7,36,110,135,0.326,1,14,2,6.806776223
137,84,29,2,13,61,79,0.316,0.837,17,1,7.192127104
140,101,24,4,39,79,124,0.312,1.088,5,4,7.483469832
154,86,30,3,23,92,125,0.31,0.847,14,5,6.717553038
143,89,36,2,17,76,60,0.309,0.832,15,6,7.040859429
162,94,44,4,23,98,132,0.309,0.892,11,6,7.289037117
141,90,25,2,10,38,94,0.308,0.813,10,2,7.085529824
136,88,44,2,24,92,82,0.308,0.909,5,8,7.051583294
152,64,30,0,17,83,104,0.305,0.821,15,3,5.710176309
139,67,28,3,9,58,60,0.305,0.817,8,7,7.165798165
158,88,43,3,12,60,114,0.304,0.806,12,6,5.717171911
144,91,29,3,10,63,69,0.304,0.755,17,6,6.915920692
135,65,35,7,13,55,80,0.3,0.804,14,4,6.736195148
139,62,33,6,7,61,96,0.3,0.789,11,10,5.71372663
157,88,46,5,23,89,151,0.298,0.854,8,3,6.743433557
149,83,47,2,27,92,97,0.297,0.855,9,4,5.698711714
156,104,38,2,38,110,122,0.297,0.935,16,6,7.199042184
162,84,35,3,37,107,104,0.297,0.905,26,5,7.192127104
162,78,43,2,14,93,80,0.297,0.806,18,9,6.984930642
141,65,27,10,2,40,98,0.296,0.773,11,2,5.688405392
132,59,22,1,4,44,93,0.294,0.727,12,2,5.930161131
146,75,25,5,30,87,124,0.293,0.868,14,2,6.480192123
146,68,26,5,11,75,44,0.292,0.754,17,5,7.003070868
156,119,31,7,29,70,134,0.291,0.86,10,2,7.107806218
136,70,33,1,13,85,63,0.291,0.751,22,7,7.038518181
157,88,42,6,37,108,168,0.291,0.914,12,4,5.705971166
160,101,40,9,34,111,167,0.29,0.881,10,4,5.779243552
148,103,41,6,16,87,106,0.29,0.83,9,7,5.754419968
158,95,35,5,33,83,173,0.29,0.922,7,0,7.007001161
146,62,25,0,21,85,115,0.29,0.818,14,7,7.216950688
136,72,45,3,23,103,102,0.288,0.883,14,6,6.8098673
157,85,31,4,14,58,75,0.288,0.742,12,5,5.717553038
138,87,31,2,24,77,104,0.288,0.803,4,2,5.741635234
157,105,51,1,31,103,85,0.286,0.926,15,3,5.739105005
157,90,38,4,26,93,148,0.285,0.859,8,7,5.710021287
145,67,28,2,12,67,101,0.284,0.837,15,3,7.360919124
153,74,29,1,25,101,80,0.283,0.846,11,9,6.806776223
143,79,22,2,34,104,142,0.283,0.892,20,6,6.590067113
127,64,27,1,6,48,86,0.282,0.729,9,3,7.323406019
145,54,35,0,15,63,93,0.281,0.732,21,4,7.192127104
148,69,16,2,23,88,110,0.28,0.758,10,4,6.915920692
154,76,32,2,12,54,124,0.278,0.729,18,6,6.961678183
145,100,42,6,24,68,146,0.278,0.864,18,2,5.700062306
158,129,42,2,38,92,107,0.277,0.871,5,3,5.756389245
145,81,32,5,20,72,109,0.277,0.787,11,3,6.836739446
125,74,30,3,21,74,104,0.277,0.825,9,4,6.424076181
132,71,32,4,16,64,113,0.276,0.796,5,3,6.86476817
128,90,32,2,15,62,82,0.276,0.749,14,7,6.891097108
137,102,18,6,21,63,140,0.275,0.83,18,3,5.717629224
149,80,25,0,35,108,143,0.274,0.89,19,10,5.70768929
156,87,34,4,11,65,129,0.273,0.757,18,2,5.698074685
134,63,27,1,19,76,108,0.272,0.806,13,3,5.705971166
151,75,48,3,23,84,126,0.272,0.824,12,8,6.491845852
162,103,27,6,19,73,132,0.271,0.76,7,0,5.723004505
157,110,38,4,39,105,80,0.27,0.939,2,6,6.397618057
134,89,23,5,27,86,69,0.268,0.829,8,9,6.891097108
143,74,19,7,3,40,95,0.268,0.678,11,3,6.614890696
141,62,17,8,4,36,80,0.268,0.637,10,5,6.982867482
157,78,37,1,23,99,128,0.267,0.801,8,3,6.739829433
151,78,41,0,27,88,114,0.267,0.821,21,5,5.961678183
158,102,34,1,38,100,211,0.266,0.852,17,10,7.359618191
128,68,36,1,22,78,109,0.265,0.798,14,6,7.075621535
149,72,26,2,16,45,140,0.265,0.751,5,2,6.424076181
156,83,27,6,10,61,86,0.265,0.705,6,4,6.563738174
127,56,23,3,10,44,69,0.265,0.677,17,3,6.563738174
140,102,26,0,22,71,122,0.265,0.78,12,3,7.040859429
146,83,30,1,21,62,156,0.264,0.81,11,2,7.26487424
140,77,28,8,17,47,140,0.263,0.886,8,0,5.699655187
147,68,36,1,23,75,119,0.262,0.774,16,2,6.903686236
158,105,40,5,24,72,116,0.261,0.757,9,3,5.705971166
148,74,31,4,12,62,104,0.261,0.768,12,5,5.719453674
123,55,20,0,20,74,66,0.261,0.75,15,6,7.26036696
162,84,28,7,25,76,151,0.26,0.814,7,3,5.728834049
153,68,26,12,14,59,79,0.26,0.768,12,2,6.438799437
141,54,14,1,14,46,138,0.26,0.709,13,2,5.891107327
128,61,25,1,20,77,116,0.258,0.753,13,3,5.712618343
156,111,42,0,36,81,158,0.257,0.897,0,4,7.092011951
145,80,18,1,30,85,176,0.257,0.808,12,6,7.165798165
144,70,18,1,37,97,122,0.256,0.85,15,3,7.108581053
154,76,26,8,9,51,119,0.256,0.676,9,3,5.701203061
148,64,19,3,22,71,122,0.255,0.73,11,1,6.438799437
155,83,30,3,20,65,145,0.255,0.792,12,7,7.107806218
159,89,35,2,15,70,131,0.255,0.706,12,7,6.456528204
151,63,28,2,14,54,122,0.254,0.719,12,5,7.137769442
130,75,32,6,23,81,117,0.254,0.839,11,7,6.505746227
146,82,35,6,20,77,88,0.254,0.793,9,4,5.982867482
155,85,35,8,17,63,178,0.254,0.775,5,4,5.721346027
140,68,28,1,30,74,145,0.253,0.816,11,5,6.323406019
161,91,15,3,15,60,155,0.253,0.718,12,3,6.669248359
157,72,31,2,18,69,142,0.253,0.72,18,1,7.359618191
129,76,23,2,18,63,127,0.253,0.751,5,5,6.438799437
142,65,40,2,15,59,98,0.252,0.708,8,6,6.473561544
153,44,13,0,11,53,69,0.252,0.643,23,4,6.03356019
133,32,21,0,9,54,49,0.251,0.651,19,7,7.216950688
152,66,33,1,28,95,103,0.251,0.774,13,6,6.848168908
145,64,19,0,23,83,123,0.25,0.738,10,5,6.806776223
138,50,27,5,10,54,121,0.249,0.73,14,2,5.743074488
159,103,34,0,34,100,169,0.249,0.889,7,9,7.298637968
138,50,21,3,10,46,96,0.248,0.699,13,3,6.608816549
162,62,31,5,13,67,147,0.248,0.68,8,6,6.795780838
137,90,18,3,27,79,111,0.248,0.833,1,6,6.412696635
151,98,28,1,48,123,175,0.247,0.874,16,7,6.982867482
145,61,25,3,16,68,126,0.247,0.733,14,2,6.671372052
162,85,33,0,29,84,163,0.247,0.788,13,2,5.700062306
137,74,16,1,32,107,132,0.246,0.81,14,7,7.192127104
153,89,38,0,34,96,150,0.246,0.85,7,5,5.704010465
141,56,24,0,13,54,124,0.245,0.694,7,2,7.262708178
141,50,26,8,8,51,88,0.245,0.675,9,7,5.707455401
125,51,25,4,16,54,101,0.244,0.694,11,5,7.107806218
153,78,25,1,28,82,159,0.243,0.797,10,4,5.743501029
156,69,23,3,24,58,153,0.242,0.715,17,5,5.707143351
155,62,34,10,8,55,138,0.242,0.678,9,3,6.332746045
147,67,34,0,25,77,156,0.242,0.808,11,3,6.577102136
140,65,23,2,24,68,124,0.241,0.815,12,3,6.859305274
152,73,23,0,32,86,108,0.241,0.825,7,6,5.715567514
153,77,28,3,20,64,149,0.24,0.687,15,3,5.961678183
128,66,26,0,14,48,64,0.24,0.681,15,3,6.961678183
134,67,29,7,22,57,163,0.239,0.771,14,3,5.661541913
137,64,14,3,26,61,140,0.238,0.823,6,2,5.743074488
136,51,25,4,14,59,122,0.238,0.699,5,3,5.71372663
160,82,21,8,22,88,146,0.236,0.729,17,4,7.304100863
140,95,20,7,12,45,107,0.236,0.69,6,5,7.003070868
153,74,16,9,4,29,132,0.236,0.626,1,4,6.624436014
133,51,15,0,24,73,113,0.235,0.688,21,2,5.709245345
149,73,32,6,17,61,217,0.235,0.714,4,2,5.705971166
129,52,23,0,27,80,108,0.235,0.713,19,5,6.836739446
153,61,33,5,16,70,109,0.234,0.7,15,5,6.067188367
144,76,33,4,13,59,137,0.234,0.717,6,4,6.747008018
140,54,22,3,4,34,74,0.231,0.593,14,4,6.538595139
147,65,28,1,18,75,112,0.23,0.704,5,3,7.092011951
161,82,28,2,24,86,93,0.229,0.766,12,8,7.178674417
122,50,20,0,17,54,72,0.226,0.655,21,3,6.563738174
144,78,28,3,19,54,160,0.224,0.71,4,5,5.700696429
156,80,30,4,20,58,96,0.224,0.727,8,3,5.730686054
155,62,36,1,22,78,138,0.221,0.673,10,4,7.228849911
151,81,30,2,21,72,129,0.215,0.696,12,5,6.915920692
137,71,18,2,19,57,133,0.208,0.652,9,6,6.891097108
148,82,24,1,40,92,207,0.206,0.81,3,0,5.70986621
128,40,12,0,16,49,192,0.168,0.539,5,4,7.192127104
153,112,39,4,24,81,84,0.346,0.957,19,4,6.623129724
159,137,35,14,37,104,135,0.331,1,4,3,6.83324007
136,75,27,5,18,80,111,0.33,0.885,14,1,6.447038465
144,94,43,3,23,93,77,0.322,0.928,16,3,7.049098456
130,72,32,0,21,71,56,0.322,0.945,12,7,7.174037193
140,62,34,0,12,67,66,0.32,0.861,17,5,7.300330984
162,106,34,1,36,100,83,0.32,1.032,16,6,7.312339891
162,98,31,1,25,94,104,0.318,0.882,20,2,7.058053299
152,107,56,6,29,83,69,0.318,0.957,13,5,6.428010906
134,77,34,4,13,82,72,0.314,0.847,9,12,7.083860562
159,93,30,2,37,124,144,0.312,0.924,18,2,6.513985255
155,95,28,4,8,64,90,0.31,0.783,24,5,6.651158448
159,100,43,7,37,130,106,0.309,0.959,21,6,7.039955077
158,114,20,9,2,33,93,0.308,0.716,7,4,6.844978474
117,84,35,2,28,71,95,0.307,0.989,9,2,7.281671071
128,95,22,2,23,73,117,0.306,0.931,18,3,5.698270992
114,92,25,3,33,72,90,0.306,1.071,8,4,7.254347944
141,69,36,1,7,71,83,0.305,0.801,17,3,7.331645046
156,95,43,6,33,102,119,0.304,0.906,21,4,7.004345115
157,93,27,5,11,57,94,0.304,0.759,8,4,6.7102799
134,67,34,0,23,90,99,0.303,0.907,8,2,6.541043487
144,90,33,0,36,108,126,0.303,0.93,16,5,7.116045246
147,81,41,1,25,100,82,0.301,0.937,7,6,6.733345204
155,86,27,5,15,49,100,0.3,0.803,20,2,7.011309895
125,80,30,2,11,45,83,0.3,0.776,14,1,6.933705038
139,69,43,1,18,75,62,0.299,0.817,12,6,7.116045246
158,100,44,4,20,88,101,0.297,0.808,18,4,7.146008469
122,80,24,7,24,63,78,0.297,0.933,5,4,6.696236822
155,117,34,3,36,120,147,0.297,0.966,14,4,6.916860481
151,111,38,4,29,73,128,0.295,0.946,8,6,5.991106509
145,85,33,0,22,77,131,0.295,0.854,14,3,5.729585055
128,85,26,6,9,34,104,0.294,0.793,8,1,6.376457391
147,65,26,4,24,78,139,0.293,0.826,12,4,5.699082
140,82,31,3,14,57,94,0.293,0.796,7,3,5.727692701
160,92,35,0,32,105,142,0.293,0.841,20,7,6.510872019
151,79,33,2,27,78,106,0.29,0.836,10,8,5.712249493
155,91,28,0,39,119,140,0.288,0.924,15,7,7.116045246
145,80,32,6,19,78,88,0.288,0.784,13,7,5.70531648
138,60,28,5,10,53,54,0.288,0.768,10,8,5.748068461
140,85,34,5,21,72,142,0.288,0.85,2,1,5.698270992
136,73,27,0,25,87,70,0.287,0.796,7,7,6.677487386
156,78,30,2,17,85,74,0.285,0.746,19,6,7.146008469
147,82,28,1,26,73,113,0.285,0.787,18,3,7.174037193
144,81,34,1,13,60,73,0.285,0.735,21,1,7.116045246
155,88,39,5,19,71,97,0.284,0.827,15,7,5.701828152
155,128,24,3,52,114,208,0.284,1.049,15,4,5.705915094
140,112,29,0,34,85,111,0.283,0.889,11,4,6.560981817
150,84,33,4,27,62,152,0.282,0.815,11,2,6.450642589
156,100,36,2,18,81,137,0.282,0.807,13,6,6.513985255
138,67,42,3,14,56,126,0.281,0.778,13,2,6.447038465
159,123,32,0,59,132,163,0.281,1.007,13,3,7.131285212
135,66,32,0,14,59,83,0.28,0.785,19,5,6.886371159
150,79,33,0,23,97,85,0.28,0.791,18,3,7.350128452
156,94,30,2,28,88,116,0.279,0.849,10,3,7.116045246
137,67,18,5,22,62,167,0.278,0.782,10,1,5.916860481
141,68,31,5,17,65,106,0.278,0.783,13,3,5.720039737
122,79,20,0,33,90,120,0.278,0.876,9,4,5.716473572
151,88,29,0,30,85,178,0.278,0.875,12,3,5.704076723
158,77,38,2,14,69,67,0.278,0.752,20,8,6.873007197
153,56,17,2,15,53,100,0.277,0.731,10,3,5.700780202
153,86,49,3,14,69,100,0.277,0.808,10,3,6.782830567
134,68,27,5,11,59,122,0.275,0.735,8,3,5.698270992
160,76,39,1,8,76,110,0.275,0.738,16,3,6.991106509
145,75,24,2,23,75,144,0.273,0.796,10,2,5.754534503
148,94,32,6,10,62,116,0.273,0.746,17,2,6.623129724
147,77,30,1,12,61,132,0.273,0.758,10,7,7.116045246
159,99,44,4,33,89,93,0.273,0.842,11,3,5.732820739
136,60,27,1,18,82,74,0.273,0.751,14,9,7.116045246
157,99,32,3,32,109,90,0.273,0.899,21,4,6.81501525
144,84,34,1,31,101,138,0.273,0.862,20,3,5.705835327
152,100,44,0,35,109,180,0.273,0.901,9,1,7.31480049
157,73,36,10,26,101,142,0.272,0.811,12,5,6.447038465
128,66,26,2,16,47,90,0.272,0.771,5,3,6.844978474
148,75,24,0,38,85,94,0.272,0.835,18,6,6.909436463
129,73,31,5,12,43,69,0.272,0.756,11,1,7.039955077
151,84,26,1,20,90,112,0.271,0.776,16,8,5.709489555
152,106,30,4,34,93,141,0.271,0.856,11,2,6.749874261
149,66,29,0,25,78,142,0.271,0.754,16,2,5.700295679
158,85,29,1,38,90,128,0.27,0.883,17,2,6.585341163
132,87,26,4,39,97,146,0.267,0.933,5,3,5.698270992
148,82,22,1,30,97,175,0.267,0.839,12,3,6.146008469
141,63,19,8,12,59,111,0.267,0.732,10,4,5.707109853
142,72,22,0,28,67,118,0.266,0.866,9,0,6.571977201
153,101,46,2,24,102,79,0.264,0.803,9,5,5.947640815
151,96,26,4,21,63,122,0.264,0.778,4,3,7.049098456
130,44,16,0,10,52,116,0.263,0.739,10,4,6.765797228
126,53,18,7,13,39,106,0.263,0.721,6,4,5.698757779
152,72,24,2,28,74,100,0.263,0.833,21,5,6.782830567
136,72,34,0,14,57,119,0.262,0.762,9,6,7.270947206
149,96,20,1,22,78,134,0.261,0.78,18,5,7.270947206
156,71,36,2,20,86,109,0.261,0.737,18,12,7.031558144
134,55,13,5,13,67,102,0.26,0.701,8,4,7.237088939
156,87,25,2,26,82,147,0.26,0.828,16,5,5.744434176
156,81,33,1,33,95,115,0.259,0.782,17,9,7.030615051
143,50,9,4,5,37,70,0.259,0.622,7,1,5.70231097
154,90,37,3,23,79,94,0.259,0.818,11,2,7.049098456
157,96,20,1,38,107,133,0.258,0.881,18,5,7.22879384
146,72,26,4,17,56,162,0.257,0.679,13,1,5.899336136
154,72,37,1,16,42,95,0.256,0.704,13,3,5.714210193
133,60,30,3,13,74,78,0.256,0.723,7,6,5.70231097
159,75,26,6,26,90,117,0.255,0.8,15,4,5.709489555
162,71,29,6,12,61,111,0.255,0.69,12,4,6.608406467
145,52,24,5,14,58,88,0.255,0.733,16,2,6.605903322
128,49,21,0,18,64,61,0.255,0.731,18,4,6.409249904
146,82,29,2,36,101,139,0.254,0.832,11,3,7.083860562
140,69,14,6,16,51,150,0.253,0.728,1,2,5.698270992
144,58,34,1,14,77,113,0.253,0.709,18,9,6.873007197
148,64,30,2,20,101,127,0.253,0.745,12,3,5.70746764
162,71,36,5,6,54,102,0.25,0.629,14,4,6.782830567
150,67,25,0,28,85,132,0.25,0.753,22,3,6.96991721
130,50,22,0,16,60,110,0.249,0.728,15,3,7.417075242
157,78,37,3,31,99,170,0.249,0.782,11,11,5.731469199
154,72,33,1,27,88,110,0.249,0.773,6,6,6.991106509
149,89,30,4,30,105,152,0.248,0.844,15,5,5.728299152
153,91,28,1,43,110,195,0.247,0.864,20,7,6.668887215
139,85,17,11,4,38,133,0.247,0.634,5,2,6.389046518
138,83,26,4,31,63,163,0.247,0.877,6,0,6.623129724
149,73,34,0,22,79,120,0.246,0.769,14,5,6.7102799
149,75,22,1,38,85,149,0.246,0.868,12,3,6.409249904
145,75,25,7,15,58,79,0.246,0.728,3,3,7.312339891
133,58,19,3,17,63,124,0.245,0.726,8,2,6.526219711
155,77,23,2,19,71,134,0.244,0.725,10,6,6.748068461
141,78,33,0,25,68,113,0.243,0.808,10,7,6.664114771
147,67,32,2,19,69,114,0.243,0.737,5,3,5.708301334
155,80,29,3,30,74,180,0.243,0.792,15,7,7.200366132
133,58,24,0,23,62,116,0.242,0.75,15,0,7.312339891
145,91,31,2,23,69,125,0.241,0.835,5,5,6.958921826
149,53,17,0,23,101,93,0.241,0.672,26,4,7.384890558
142,51,27,1,22,69,129,0.24,0.721,21,3,5.70471704
148,78,21,2,30,78,179,0.239,0.81,9,1,5.707666284
145,68,32,3,24,82,191,0.239,0.765,12,1,5.70231097
139,90,25,3,22,52,86,0.236,0.725,9,0,7.011309895
146,79,22,0,23,65,149,0.234,0.686,13,1,7.030615051
141,63,25,2,30,67,125,0.233,0.791,7,5,5.70231097
144,59,23,2,6,51,120,0.232,0.636,7,4,5.66690143
129,60,29,0,14,51,102,0.231,0.666,9,6,7.174037193
154,66,29,1,24,76,95,0.23,0.69,21,5,5.718105237
128,65,15,1,26,61,195,0.215,0.732,7,4,7.200366132
147,74,19,1,27,76,125,0.213,0.772,10,5,7.049098456
147,74,24,3,26,64,123,0.212,0.775,5,3,7.146008469
145,85,18,3,41,80,196,0.209,0.869,3,0,5.699988534
148,52,20,2,9,45,126,0.208,0.608,7,4,7.174037193
162,79,21,3,30,75,162,0.204,0.649,13,4,6.447038465
157,92,27,0,23,65,170,0.203,0.674,16,7,7.225189715
146,104,32,8,11,66,80,0.348,0.911,19,6,6.456191502
142,88,47,5,25,104,57,0.347,0.985,4,8,6.882160234
161,108,42,5,24,96,70,0.338,0.928,15,7,6.526229369
158,101,34,2,29,97,120,0.326,0.985,16,8,7.280100243
143,111,35,5,29,82,102,0.324,0.933,2,4,6.523138292
153,102,41,7,20,64,101,0.319,0.867,6,2,6.394043595
158,122,42,5,31,113,80,0.318,0.897,12,7,5.731886679
154,105,36,1,15,74,73,0.318,0.825,24,3,7.024393226
158,92,31,1,38,108,116,0.316,0.956,26,5,7.427003113
151,79,48,1,38,127,86,0.315,1.021,22,7,7.18319023
159,123,32,5,29,100,137,0.315,0.991,5,5,7.162340091
152,84,46,3,11,76,62,0.312,0.825,10,4,5.693567656
129,71,34,5,9,46,104,0.311,0.818,8,0,6.456191502
157,105,40,5,26,72,133,0.308,0.877,12,2,5.686640424
120,69,35,2,22,68,128,0.307,0.908,13,5,6.80837402
147,56,38,1,8,58,63,0.307,0.787,22,2,7.125198283
131,58,25,0,22,80,79,0.307,0.85,17,4,6.707424029
135,80,23,3,30,91,98,0.305,0.903,20,3,7.280100243
153,70,37,3,8,75,69,0.305,0.775,24,5,7.125198283
132,68,28,1,5,39,67,0.304,0.745,21,4,6.155161507
137,60,31,0,11,48,100,0.303,0.771,12,3,5.70538986
147,75,31,7,8,69,70,0.302,0.8,18,7,7.155161507
158,102,43,6,34,91,171,0.302,0.968,12,5,7.058251494
158,99,30,3,15,78,88,0.301,0.794,18,15,5.711705215
153,89,31,1,32,104,66,0.3,0.879,10,3,7.236748822
161,107,33,2,39,103,100,0.298,0.882,18,5,7.360185328
150,87,42,2,25,100,129,0.298,0.855,10,1,7.210794631
155,78,38,3,21,98,138,0.298,0.859,20,5,5.979070247
158,106,33,3,24,95,150,0.297,0.899,14,8,6.746226114
151,70,42,5,14,86,69,0.296,0.8,17,5,7.125198283
151,73,33,0,29,93,101,0.295,0.85,19,4,7.14043825
160,116,35,6,41,133,103,0.294,0.932,17,8,6.678040252
157,115,34,1,21,89,123,0.294,0.802,14,3,5.792317548
155,67,14,11,6,39,116,0.294,0.764,6,2,5.699229551
157,105,40,1,37,96,120,0.294,0.876,14,5,6.678040252
159,67,32,1,25,100,125,0.293,0.82,21,9,6.979070247
155,121,35,3,39,102,154,0.292,0.939,3,3,5.793317843
142,67,24,3,24,81,100,0.292,0.855,16,4,6.607459178
155,94,43,4,32,109,108,0.292,0.928,13,3,6.678040252
131,85,24,7,3,29,68,0.291,0.732,8,2,5.697571936
141,74,34,1,11,64,68,0.291,0.736,17,6,7.0930136
